id,code,display_order,icon,color,is_active,created_at,updated_at
M-001,M-001,1,globe-alt,#1E40AF,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-002,M-002,2,paper-airplane,#0EA5E9,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-003,M-003,3,briefcase,#059669,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-004,M-004,4,camera,#DC2626,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-005,M-005,5,shield-check,#374151,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-006,M-006,6,chart-bar,#7C2D12,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-007,M-007,7,academic-cap,#1D4ED8,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-008,M-008,8,lightning-bolt,#F59E0B,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-009,M-009,9,office-building,#6B7280,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-010,M-010,10,information-circle,#8B5CF6,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-011,M-011,11,home,#EF4444,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-012,M-012,12,scale,#000000,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-013,M-013,13,heart,#EF4444,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
M-014,M-014,14,users,#10B981,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
