id,ministerio_id,code,display_order,icon,color,is_active,created_at,updated_at
S-001,M-001,S-001,1,globe-europe,#1E40AF,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-002,M-002,S-002,2,airplane,#0EA5E9,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-003,M-003,S-003,3,shopping-bag,#059669,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-005,M-004,S-005,4,photograph,#DC2626,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-007,M-005,S-007,5,shield-exclamation,#374151,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-008,M-006,S-008,6,book-open,#7C2D12,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-009,M-007,S-009,7,chart-bar,#1D4ED8,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-010,M-007,S-010,8,clipboard-list,#1D4ED8,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-011,M-008,S-011,9,speakerphone,#F59E0B,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-012,M-009,S-012,10,location-marker,#EF4444,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-013,M-010,S-013,11,lightning-bolt,#8B5CF6,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-014,M-011,S-014,12,cog,#6366F1,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-015,M-011,S-015,13,home,#EF4444,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-016,M-012,S-016,14,shield-check,#000000,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-017,M-013,S-017,15,truck,#6366F1,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
S-018,M-014,S-018,16,user-group,#10B981,true,2025-09-29T08:11:22.489084Z,2025-09-29T08:11:22.489084Z
